esperanto,english,cefr_level
Ĉu tiu estas via biciklo?,Is that your bike ?,A1
Ŝi havis belan kolĉenon ĉirkaŭ sia kolo.,She had a beautiful necklace around her neck .,A1
Mi forgesis kunporti mian ombrelon.,I forgot to bring my umbrella .,A1
La bebo ploris.,The baby kept crying .,A1
"Ĉu vi scias, kion vi faras ĉi-semajnfine?",Do you know what you 're doing this weekend ?,A1
Neniu havis monon.,No one had money .,A1
Ben devas multe ŝati sian novan aŭton.,Ben must like his new car a lot .,A2
"Harrison tre ekscitiĝis, kiam liaj gepatroj donis al li aŭton.",Harrison got very excited when his parents gave him a car .,A2
Mi pli ŝatas hundojn ol katojn.,I like dogs more than cats .,A2
Ankaŭ mi estas nomata per frerbanjo!,"Now I am being called by Softbank , too !",A2
Larry havas ŝarkon 's denton .,Larry has a shark 's tooth .,A2
Li jam enlitiĝis.,He 's already gone to bed .,A2
Li tre bone zorgas pri infanoj.,He 's very good at taking care of children .,A2
Suŝio estas kruda fiŝo.,Sushi is raw fish .,A2
Infanoj ŝatas ludi ekstere.,Children love to play outdoors .,A2
Mi volas manĝi ion dolĉan.,I want to eat something sweet .,A2
Mi faros ĝin tuj kiam mi revenos.,I will do it as soon as I return .,A2
Ĉu vi povas desegni la britan flagon?,Can you draw the British flag ?,A2
"Ŝi estas tiel kvieta, ke ni forgesas ŝin ĉi tie.",She 's so quiet that we forget she 's here .,A2
Kie estas mia kakiaro mallonga?,Where are my khaki shorts ?,A2
"Tiuj estas la amikoj, kies nomojn vi konas.",These are the friends whose names you know .,A2
David sendis al sia amiko geedziĝan donacon.,David sent his friend a wedding gift .,A2
"Mi deziras, ke mi havus malvarman akvon por trinki .",I wish I had some cool water to drink .,A2
Ne surhavu kakiojn al la komerca kunveno.,Do n't wear khakis to the business meeting .,A2
Patrino estis tro timida por porti bikinon.,Mother was too shy to wear a bikini .,A2
Ĉu mi instruu al vi danci?,Shall I teach you to dance ?,A2
Tiu grandega vendejo havas nur tri kasistojn!,This huge store only has three cashiers !,A2
"Tiuj estis la viroj, kiuj surkuris la ruĝan lumon.",These were the men who ran the red light .,A2
Lia edzino estas vjetnama.,His wife is Vietnamese .,A2
Ili biciklis en la montaro.,They were cycling in the mountains .,A2
Ili ĵus petis ŝin resti plian jaron.,They 've just asked her to stay another year .,A2
Mi tagmanĝas post la tria periodo.,I have lunch after third period .,A2
Tiu iPado estas tiom rapida kiel komputila komputilo.,This iPad is as fast as a desktop computer .,A2
"Pasis la dekdua horo, kiam ni alvenis hejme .",It was past twelve when we arrived home .,A2
Mi trovas tion facile dormi.,I find it easy to sleep .,A2
Li planis mortigi la prezidenton.,He planned to kill the president .,A2
"Mi deziras, ke mi povu resti tie por ĉiam sur tiu plaĝo.",I wish I could have stayed there forever on that beach .,A2
Mi ne povus fari ĝin eĉ se mi provus ĝin.,I could n't do it even if I tried .,A2
"Tenu viajn genuojn supren, kiam vi saltos.",Keep your knees up when you jump .,A2
Vi rajtas stiri mian aŭton.,You may drive my car .,A2
"Stiri estas io, kion mi ŝatas fari.",Driving is something I enjoy doing .,A2
"Faru vian laboron, aŭ vi ne ricevos pagon.","Do your work , or you wo n't get paid .",A2
"Mi deziras, ke tio povus esti alia.",I wish it could be different .,A2
"Estas malfacile diri, ĉu ĉi tiuj estas miaj ŝtrumpoj aŭ lia oj.",It 's hard to tell if these are my socks or his .,A2
Mi ĉiam volis esti atleto.,I always wanted to be an athlete .,A2
Ŝi ŝanĝis sian plej gravan el matematiko al kemio.,She 's changed her major from math to chemistry .,A2
"Ĉu estis iaj roboj, kiujn vi volis aĉeti?",Were there any dresses you wanted to buy ?,A2
Carley iris butikumi por robo hodiaŭ.,Carley went shopping for a dress today .,A2
Li parolas hundon.,He has a talking dog .,A2
Kiu estas la hodiaŭa dato?,What 's the date today ?,A2
"Mi pensis, ke mi devas paroli kun li.",I thought I had to talk to him .,A2
"Mi pensis, ke mi vidis lin.",I thought I saw him .,A2
Estas tre malmulte da trafiko en dimanĉoj ĉi tie.,There is very little traffic on Sundays here .,A2
Li kuris al la bushaltejo.,He ran to the bus stop .,A2
Sukero malbonis por Henry.,Sugar was bad for Henry .,A2
Ni ĉiam vidas ruĝajn fruktojn en la aŭtuno.,We always see red fruit in the autumn .,A2
Vi povas trovi la kontrakton en lia oficejo.,You can find the contractor in his office .,A2
Mi serĉas ĉarpentiston.,I 'm looking for a carpenter .,A2
"""Ni iru bicikli. """,Let 's go for a bike ride .,A2
La plonĝistoj estis protektitaj de metala kaĝo.,The divers were protected by a metal cage .,A2
Li faris pli ol iu alia.,He has done more than anyone else .,A2
Oni dufoje vokis min pri tio.,I was called twice about it .,A2
Tiuj muzikistoj ' gitaroj estis ŝtelitaj.,Those musicians ' guitars were stolen .,A2
Ni demandu ion kiel startigi volontulon.,We should ask Amanda how to start a volunteer project .,A2
Ni iris serĉi manĝaĵon.,We went to look for food .,A2
"Ĉu vi scias, kion diri, se vi haltis ĉe la polico?",Do you know what to say if you are stopped by the police ?,A2
Megako komencis ludi futbalon dum la someraj ferioj.,Megan started playing soccer during the summer break .,A2
Mi ne ofte surhavas pilkojn.,I do n't often wear ball gowns .,A2
John ne sciis kial io tiel koleras kontraŭ li.,John did n't know why Amanda was so angry at him .,A2
"Johano sciis, ke ili estas malbonaj homoj.",John knew they were bad people .,A2
"La ŝoforo ne sciis, kien turni.",The driver did n't know where to turn .,A2
Mi ne legis ĉiujn tiujn librojn.,I ca n't read all of these books .,A2
"Estas facile kompreni homojn, kiuj parolas klare.",It is easy to understand people who speak clearly .,A2
Vi estas tiel bela kiel mi.,You are as beautiful as ever to me .,A2
Ŝi estis senpotenca kiel bebo.,She was as helpless as a baby .,A2
Estas malfacile paroli kun ŝi pace.,It is difficult to talk to her peacefully .,A2
Ni spektas la olimpiojn televide.,We watch the Olympics on TV .,A2
Tiu horloĝo estas kvin minutojn rapida.,That clock is five minutes fast .,A2
Mi dormis dum li forestis.,I slept while he was gone .,A2
Li estis tiel aĝa kiel mia patro.,He was as old as my father .,A2
Multaj rusoj mortis en WWII.,Many Russians died in WWII .,A2
Bonvolu alporti mian kelneron.,"Could you get my waiter , please ?",A2
"Feliĉe, salato estis Ginas preferata manĝaĵo.","Fortunately , salad was Gina 's favorite food .",A2
"Estas fotisto ""sstustustu tie.""",There is a photographer 's studio over there .,A2
Mi aĉetas mian panon de loka bakisto.,I buy my bread from a local baker .,A2
