esperanto,english,cefr_level,is_suspicious
Ĉu tiu estas via biciklo?,Is that your bike ?,A,False
Ŝi havis belan kolĉenon ĉirkaŭ sia kolo.,She had a beautiful necklace around her neck .,A,False
Mi forgesis kunporti mian ombrelon.,I forgot to bring my umbrella .,A,False
La bebo ploris.,The baby kept crying .,A,False
"Ĉu vi scias, kion vi faras ĉi-semajnfine?",Do you know what you 're doing this weekend ?,A,False
Neniu havis monon.,No one had money .,A,False
Ben devas multe ŝati sian novan aŭton.,Ben must like his new car a lot .,A,False
"Harrison tre ekscitiĝis, kiam liaj gepatroj donis al li aŭton.",Harrison got very excited when his parents gave him a car .,A,False
Mi pli ŝatas hundojn ol katojn.,I like dogs more than cats .,A,False
Ankaŭ mi estas nomata per frerbanjo!,"Now I am being called by Softbank , too !",A,False
Li tre bone zorgas pri infanoj.,He 's very good at taking care of children .,A,False
Suŝio estas kruda fiŝo.,Sushi is raw fish .,A,False
Infanoj ŝatas ludi ekstere.,Children love to play outdoors .,A,False
Mi volas manĝi ion dolĉan.,I want to eat something sweet .,A,False
Mi faros ĝin tuj kiam mi revenos.,I will do it as soon as I return .,A,False
Ĉu vi povas desegni la britan flagon?,Can you draw the British flag ?,A,False
"Ŝi estas tiel kvieta, ke ni forgesas ŝin ĉi tie.",She 's so quiet that we forget she 's here .,A,False
Kie estas mia kakiaro mallonga?,Where are my khaki shorts ?,A,False
"Tiuj estas la amikoj, kies nomojn vi konas.",These are the friends whose names you know .,A,False
David sendis al sia amiko geedziĝan donacon.,David sent his friend a wedding gift .,A,False
"Mi deziras, ke mi havus malvarman akvon por trinki .",I wish I had some cool water to drink .,A,False
Ne surhavu kakiojn al la komerca kunveno.,Do n't wear khakis to the business meeting .,A,False
Patrino estis tro timida por porti bikinon.,Mother was too shy to wear a bikini .,A,False
Ĉu mi instruu al vi danci?,Shall I teach you to dance ?,A,False
Tiu grandega vendejo havas nur tri kasistojn!,This huge store only has three cashiers !,A,False
"Tiuj estis la viroj, kiuj surkuris la ruĝan lumon.",These were the men who ran the red light .,A,False
Lia edzino estas vjetnama.,His wife is Vietnamese .,A,False
Ili biciklis en la montaro.,They were cycling in the mountains .,A,False
Ili ĵus petis ŝin resti plian jaron.,They 've just asked her to stay another year .,A,False
Mi tagmanĝas post la tria periodo.,I have lunch after third period .,A,False
Tiu iPado estas tiom rapida kiel komputila komputilo.,This iPad is as fast as a desktop computer .,A,False
"Pasis la dekdua horo, kiam ni alvenis hejme .",It was past twelve when we arrived home .,A,False
Mi trovas tion facile dormi.,I find it easy to sleep .,A,False
Li planis mortigi la prezidenton.,He planned to kill the president .,A,False
"Mi deziras, ke mi povu resti tie por ĉiam sur tiu plaĝo.",I wish I could have stayed there forever on that beach .,A,False
Mi ne povus fari ĝin eĉ se mi provus ĝin.,I could n't do it even if I tried .,A,False
"Tenu viajn genuojn supren, kiam vi saltos.",Keep your knees up when you jump .,A,False
Vi rajtas stiri mian aŭton.,You may drive my car .,A,False
"Stiri estas io, kion mi ŝatas fari.",Driving is something I enjoy doing .,A,False
"Faru vian laboron, aŭ vi ne ricevos pagon.","Do your work , or you wo n't get paid .",A,False
"Mi deziras, ke tio povus esti alia.",I wish it could be different .,A,False
"Estas malfacile diri, ĉu ĉi tiuj estas miaj ŝtrumpoj aŭ lia oj.",It 's hard to tell if these are my socks or his .,A,False
Mi ĉiam volis esti atleto.,I always wanted to be an athlete .,A,False
Ŝi ŝanĝis sian plej gravan el matematiko al kemio.,She 's changed her major from math to chemistry .,A,False
"Ĉu estis iaj roboj, kiujn vi volis aĉeti?",Were there any dresses you wanted to buy ?,A,False
Carley iris butikumi por robo hodiaŭ.,Carley went shopping for a dress today .,A,False
Li parolas hundon.,He has a talking dog .,A,False
Kiu estas la hodiaŭa dato?,What 's the date today ?,A,False
"Mi pensis, ke mi devas paroli kun li.",I thought I had to talk to him .,A,False
"Mi pensis, ke mi vidis lin.",I thought I saw him .,A,False
Estas tre malmulte da trafiko en dimanĉoj ĉi tie.,There is very little traffic on Sundays here .,A,False
Li kuris al la bushaltejo.,He ran to the bus stop .,A,False
Sukero malbonis por Henry.,Sugar was bad for Henry .,A,False
Ni ĉiam vidas ruĝajn fruktojn en la aŭtuno.,We always see red fruit in the autumn .,A,False
Vi povas trovi la kontrakton en lia oficejo.,You can find the contractor in his office .,A,False
La plonĝistoj estis protektitaj de metala kaĝo.,The divers were protected by a metal cage .,A,False
Li faris pli ol iu alia.,He has done more than anyone else .,A,False
Oni dufoje vokis min pri tio.,I was called twice about it .,A,False
Ni demandu ion kiel startigi volontulon.,We should ask Amanda how to start a volunteer project .,A,False
Ni iris serĉi manĝaĵon.,We went to look for food .,A,False
"Ĉu vi scias, kion diri, se vi haltis ĉe la polico?",Do you know what to say if you are stopped by the police ?,A,False
Megako komencis ludi futbalon dum la someraj ferioj.,Megan started playing soccer during the summer break .,A,False
Mi ne ofte surhavas pilkojn.,I do n't often wear ball gowns .,A,False
John ne sciis kial io tiel koleras kontraŭ li.,John did n't know why Amanda was so angry at him .,A,False
"Johano sciis, ke ili estas malbonaj homoj.",John knew they were bad people .,A,False
"La ŝoforo ne sciis, kien turni.",The driver did n't know where to turn .,A,False
Mi ne legis ĉiujn tiujn librojn.,I ca n't read all of these books .,A,False
"Estas facile kompreni homojn, kiuj parolas klare.",It is easy to understand people who speak clearly .,A,False
Vi estas tiel bela kiel mi.,You are as beautiful as ever to me .,A,False
Ŝi estis senpotenca kiel bebo.,She was as helpless as a baby .,A,False
Estas malfacile paroli kun ŝi pace.,It is difficult to talk to her peacefully .,A,False
Ni spektas la olimpiojn televide.,We watch the Olympics on TV .,A,False
Tiu horloĝo estas kvin minutojn rapida.,That clock is five minutes fast .,A,False
Mi dormis dum li forestis.,I slept while he was gone .,A,False
Li estis tiel aĝa kiel mia patro.,He was as old as my father .,A,False
Multaj rusoj mortis en WWII.,Many Russians died in WWII .,A,False
Bonvolu alporti mian kelneron.,"Could you get my waiter , please ?",A,False
"Feliĉe, salato estis Ginas preferata manĝaĵo.","Fortunately , salad was Gina 's favorite food .",A,False
Mi aĉetas mian panon de loka bakisto.,I buy my bread from a local baker .,A,False
Ili devas esti elĉerpitaj post sia trimonata vojaĝo en Afriko.,They must be exhausted after their three month journey in Africa .,A,False
Ŝi envias vian hundon.,She is jealous of your dog .,A,False
"Mi pensas, ke tiu estas lia.",I think that one is his .,A,False
Ne iru naĝi tie.,Do n't go swimming over there .,A,False
"Se vi volus paroli kun iu, kiu telefonus al vi?","If you wanted to talk to someone , who would you call ?",A,False
Vi devas senti vin tre malsana.,You must feel very sick .,A,False
Mia patrino telefonas ĉiun semajnfinon.,My mother calls every weekend .,A,False
Ĉu restas iu el la legoj spagetoj el la lasta nokto?,Is there any of the vegetable spaghetti left from last night 's dinner ?,A,False
La klipo estas filmo pri iuj raportistoj de Bostono .,Spotlight is a movie about some Boston reporters .,A,False
"Mi preparis vespermanĝon, dum vi dormetis.",I made dinner while you were napping .,A,False
"Mi venos kun vi por certiĝi, ke vi bonfartas.",I will come with you to make sure you are okay .,A,False
La temperaturo malkreskis kiel minus 20 .,The temperature dropped as low as minus 20 .,A,False
"Mi ne diris al ŝi, ke ŝi iru.",I did n't tell her to go .,A,False
Ni devas ŝanĝi aviadilojn en Novjorko.,We have to change planes in New York .,A,False
Ili ĉiuj estis postulataj surmeti kostumojn .,They were all required to wear suits .,A,False
"Ni rapidis al la loko, kie ni laste vidis ŝin.",We rushed to the place where we last saw her .,A,False
Ŝi kutime estas komprenema.,She is usually understanding .,A,False
"Estis la instruisto, kiu skribis tion.",It was the teacher who wrote that .,A,False
"Mi deziras, ke mi povu esti pli kiel vi.",I wish I could be more like you .,A,False
"Mi renkontis iun, kiu ankaŭ estas el Vankuverno.",I met someone who is also from Vancouver .,A,False
Mi malŝatas lundon matene.,I hate Monday morning .,A,False
Ŝi tenas la ŝlosilon en florkruĉo apud la pordo.,She keeps the key in a flower pot by the door .,A,False
Ili staris rigardante nin el la fenestro.,They stood watching us from the window .,A,False
"La kuracisto demandis, ĉu li jam venis.",The doctor asked if he had come to yet .,A,False
Kiam vi lastfoje vidis vian?,When was the last time you saw yours ?,A,False
Ŝia filo iĝis dentisto.,Her son became a dentist .,A,False
Ŝi invitis ĉiujn siajn amikojn al la pikniko.,She 's inviting all her friends to the picnic .,A,False
